iter	Passed	Remaining
355	541564	979683
356	542976	977965
357	544462	976382
358	545960	974820
359	547724	973731
360	549433	972543
361	550923	970963
362	552488	969518
363	553950	967890
364	555431	966297
365	556902	964688
366	558494	963289
367	559882	961537
368	561346	959917
369	562933	958507
370	564370	956843
371	565992	955493
372	567381	953748
373	569014	952413
374	570493	950822
375	571928	949158
376	573459	947653
377	575301	946659
378	577084	945566
379	578559	943965
380	579863	942087
381	580945	939854
382	582553	938473
383	584108	937007
384	585575	935399
385	586915	933591
386	588330	931902
387	589929	930507
388	591435	928964
389	592928	927400
390	594451	925885
391	595634	923840
392	597024	922122
393	598586	920668
394	600281	919418
395	601733	917796
396	603368	916450
397	605024	915138
398	606482	913523
399	607955	911933
400	609452	910379
401	611027	908941
402	612386	907182
403	614110	905964
404	615834	904745
405	617396	903283
406	619061	901974
407	620591	900465
408	622355	899296
409	624219	898266
410	625901	896973
411	627115	895009
412	628583	893409
413	630188	892005
414	632038	890945
415	633773	889720
416	635361	888286
417	636806	886654
418	638179	884921
419	639631	883301
420	641264	881928
421	643024	880729
422	644744	879474
423	646254	877930
424	647790	876423
425	649564	875234
426	651321	874021
427	653024	872733
428	654505	871148
429	656205	869854
430	657633	868198
431	659615	867272
432	661458	866159
433	662787	864373
434	664479	863059
435	666178	861754
436	667858	860421
437	669512	859054
438	671383	857963
439	673235	856844
440	674929	855522
441	676415	853936
442	678076	852569
443	679736	851201
444	681605	850092
445	683453	848953
446	685344	847864
447	687008	846492
448	688619	845053
449	690536	843988
450	692355	842801
451	693865	841235
452	695527	839853
453	697316	838623
454	698849	837083
455	700375	835535
456	701935	834028
457	703609	832655
458	705122	831091
459	706668	829567
460	708293	828135
461	709651	826390
462	711038	824681
463	712582	823155
464	713931	821405
465	715609	820032
466	717243	818609
467	718936	817252
468	720625	815889
469	722165	814357
470	723760	812886
471	725316	811370
472	726943	809934
473	728532	808455
474	730074	806924
475	731588	805362
476	732956	803640
477	734434	802039
478	736017	800553
479	737628	799097
480	739220	797620
481	740853	796187
482	742395	794655
483	744153	793354
484	745487	791599
485	747103	790146
486	748438	788395
487	749996	786881
488	751521	785331
489	753050	783787
490	754453	782111
491	756147	780737
492	757736	779253
493	759321	777766
494	760759	776128
495	762433	774730
496	764019	773243
497	765520	771669
498	767206	770281
499	768451	768451
500	769955	766881
501	771695	765546
502	773339	764114
503	774893	762593
504	776416	761041
505	777811	759365
506	779295	757776
507	780788	756196
508	782376	754709
509	784184	753432
510	785726	751898
511	786999	750108
512	788798	748820
513	790402	747345
514	792152	746007
515	793865	744633
516	795651	743326
517	797222	741816
518	798824	740336
519	800472	738898
520	801918	737272
521	803331	735618
522	804824	734036
523	806427	732556
524	808108	731145
525	809712	729665
526	811145	728029
527	812716	726519
528	814319	725037
529	815905	723538
530	817698	722222
531	819023	720494
532	820532	718927
533	822062	717380
534	823663	715894
535	825408	714532
536	827015	713050
537	828491	711455
538	830114	709986
539	831721	708503
540	833239	706944
541	834719	705353
542	836155	703725
543	837605	702110
544	839177	700597
545	840574	698939
546	842122	697406
547	843606	695821
548	845098	694242
549	846603	692675
550	848212	691193
551	849749	689651
552	851356	688166
553	852869	686606
554	854371	685036
555	856027	683590
556	857336	681867
557	858811	680276
558	860285	678687
559	861593	676966
560	863002	675326
561	864231	673547
562	865753	671996
563	867356	670509
564	869010	669060
565	870532	667510
566	871946	665878
567	873236	664151
568	874942	662742
569	876620	661310
570	878241	659834
571	879825	658330
572	881233	656695
573	882923	655270
574	884609	653841
575	886531	652585
576	888383	651276
577	889963	649765
578	891487	648214
579	892965	646629
580	894631	645181
581	896262	643707
582	897849	642201
583	899490	640732
584	900919	639113
585	902553	637640
586	904040	636062
587	905680	634592
588	907343	633137
589	908702	631471
590	910021	629777
591	911950	628506
592	913605	627044
593	915042	625433
594	916580	623890
595	918068	622314
596	919741	620864
597	921603	619539
598	923396	618167
599	924975	616650
600	926573	615146
601	928103	613596
602	929615	612035
603	931225	610538
604	932428	608775
605	934080	607306
606	935645	605780
607	937608	604510
608	939353	603099
609	940962	601599
610	942796	600242
611	944132	598567
612	945861	597142
613	947633	595743
614	949347	594307
615	950784	592696
616	952270	591117
617	953791	589560
618	955426	588073
619	956956	586521
620	958614	585047
621	960109	583474
622	961732	581979
623	963171	580372
624	964568	578740
625	965989	577124
626	967740	575705
627	969269	574153
628	970837	572624
629	972391	571087
630	973878	569510
631	975410	567960
632	976784	566318
633	978359	564794
634	979925	563264
635	981486	561731
636	982869	560096
637	984380	558535
638	985741	556890
639	987484	555460
640	989094	553954
641	990808	552507
642	992305	550937
643	993856	549399
644	995575	547952
645	996977	546331
646	998453	544751
647	999933	543173
648	1001658	541728
649	1003060	540109
650	1004554	538540
651	1005747	536809
652	1007465	535360
653	1008895	533757
654	1010459	532226
655	1011817	530587
656	1013297	529012
657	1014849	527475
658	1016486	525981
659	1018073	524461
660	1019490	522855
661	1020825	521206
662	1022328	519644
663	1023831	518083
664	1025277	516493
665	1026637	514860
666	1028059	513259
667	1029443	511639
668	1030805	510009
669	1032117	508356
670	1033637	506805
671	1035506	505425
672	1037220	503969
673	1038719	502407
674	1040214	500844
675	1042129	499482
676	1043860	498030
677	1045304	496442
678	1046960	494954
679	1048619	493468
680	1050080	491887
681	1051300	490195
682	1052891	488677
683	1054372	487107
684	1056045	485626
685	1057502	484046
686	1059003	482486
687	1060730	481028
688	1062409	479549
689	1064264	478147
690	1065799	476602
691	1067318	475049
692	1068886	473518
693	1070465	471991
694	1071805	470360
695	1073290	468793
696	1074829	467250
697	1076392	465717
698	1078013	464208
699	1079531	462656
700	1081371	461241
701	1083026	459746
702	1084575	458206
703	1085946	456591
704	1087471	455041
705	1088798	453408
706	1090465	451918
707	1091784	450283
708	1093494	448810
709	1095195	447333
710	1096705	445777
711	1098320	444264
712	1099881	442729
713	1101600	441257
714	1103174	439726
715	1104839	438232
716	1106444	436713
717	1107937	435150
718	1109370	433564
719	1110781	431970
720	1112446	430474
721	1114060	428959
722	1115543	427393
723	1117036	425831
724	1118747	424352
725	1120249	422793
726	1122097	421365
727	1123803	419882
728	1125421	418366
729	1126981	416828
730	1128759	415370
731	1130405	413864
732	1131944	412317
733	1133551	410796
734	1134995	409215
735	1136741	407744
736	1138198	406168
737	1139898	404679
738	1141380	403112
739	1142783	401518
740	1144321	399972
741	1145906	398441
742	1147178	396803
743	1148734	395263
744	1150160	393679
745	1151758	392153
746	1153418	390649
747	1154866	389072
748	1156357	387511
749	1157944	385981
750	1159487	384437
751	1161200	382949
752	1162800	381423
753	1164293	379862
754	1165565	378229
755	1167121	376689
756	1168689	375153
757	1170178	373592
758	1171775	372065
759	1173590	370607
760	1175210	369087
761	1176699	367525
762	1178366	366019
763	1179943	364485
764	1181646	362989
765	1183267	361468
766	1184945	359963
